CODE ,FINE_AMOUNT
1,515.00
2,515.00
3,515.00
4,115.00
5,115.00
6,350.00
7,50.00
8,115.00
9,115.00
10,115.00
11,115.00
12,0.00
13,115.00
14,115.00
16,95.00
17,95.00
18,115.00
19,115.00
20,60.00
21,45.00
22,115.00
23,0.00
24,0.00
25,115.00
26,115.00
27,180.00
28,95.00
29,515.00
30,515.00
31,115.00
32,35.00
35,35.00
36,50.00
37,35.00
38,35.00
39,60.00
40,115.00
42,35.00
44,35.00
45,115.00
46,115.00
47,115.00
48,115.00
49,95.00
50,115.00
51,115.00
52,115.00
53,115.00
54,115.00
55,115.00
56,115.00
57,65.00
58,45.00
59,115.00
60,45.00
61,45.00
62,45.00
63,95.00
64,95.00
65,95.00
66,45.00
67,165.00
68,65.00
69,65.00
70,65.00
71,65.00
72,65.00
73,65.00
74,65.00
75,65.00
77,45.00
78,65.00
79,115.00
80,45.00
81,95.00
82,115.00
83,65.00
84,45.00
85,65.00
86,115.00
89,115.00
91,45.00
92,45.00
93,65.00
94,0.00
96,95.00
97,45.00
98,95.00
99,0.00
